,F1,FN,FP,File,Method,Precision,Recall,TN,TP
0,0.625,6,0,TS1.csv,mean_plus_standev,1.0,0.455,1669,5
6,0.643,2,8,TS1.csv,max_voting,0.529,0.818,1661,9
5,0.714,1,7,TS1.csv,one_class_svm,0.588,0.909,1662,10
4,0.5,4,10,TS1.csv,isolation_forest,0.412,0.636,1659,7
0,1.0,0,0,TS1.csv,twitter_anomaly_detector,1.0,1.0,1669,11
2,0.533,7,0,TS1.csv,moving_avg,1.0,0.364,1669,4
1,0.593,3,8,TS1.csv,kmeans,0.5,0.727,1661,8
3,0.762,3,2,TS1.csv,moving_avg_rolling_std,0.8,0.727,1667,8
7,0.857,4,0,TS10.csv,mean_plus_standev,1.0,0.75,1664,12
8,0.812,3,3,TS10.csv,kmeans,0.812,0.812,1661,13
9,0.769,6,0,TS10.csv,moving_avg,1.0,0.625,1664,10
10,0.933,2,0,TS10.csv,moving_avg_rolling_std,1.0,0.875,1664,14
11,0.765,3,5,TS10.csv,isolation_forest,0.722,0.812,1659,13
12,0.97,0,1,TS10.csv,one_class_svm,0.941,1.0,1663,16
13,0.968,1,0,TS10.csv,max_voting,1.0,0.938,1664,15
1,1.0,0,0,TS10.csv,twitter_anomaly_detector,1.0,1.0,1664,16
20,0.917,1,1,TS11.csv,max_voting,0.917,0.917,1667,11
19,0.828,0,5,TS11.csv,one_class_svm,0.706,1.0,1663,12
2,1.0,0,0,TS11.csv,twitter_anomaly_detector,1.0,1.0,1668,12
17,0.909,2,0,TS11.csv,moving_avg_rolling_std,1.0,0.833,1668,10
14,0.588,7,0,TS11.csv,mean_plus_standev,1.0,0.417,1668,5
15,0.643,3,7,TS11.csv,kmeans,0.562,0.75,1661,9
18,0.759,1,6,TS11.csv,isolation_forest,0.647,0.917,1662,11
16,0.4,9,0,TS11.csv,moving_avg,1.0,0.25,1668,3
23,0.125,14,0,TS12.csv,moving_avg,1.0,0.067,1665,1
24,0.296,11,8,TS12.csv,moving_avg_rolling_std,0.333,0.267,1657,4
25,0.688,4,6,TS12.csv,isolation_forest,0.647,0.733,1659,11
26,0.75,3,5,TS12.csv,one_class_svm,0.706,0.8,1660,12
27,0.828,3,2,TS12.csv,max_voting,0.857,0.8,1663,12
3,1.0,0,0,TS12.csv,twitter_anomaly_detector,1.0,1.0,1665,15
